,employed people with 16 yrs and over,unemployed people with 16 yrs and over,people in the labor force,unemployment rate,people with private health insurance,people with public health insurance,people without health insurance,people with a disability,male,female,people that are older than 65,median household income,median age,white,black or african american,american indian and alaska native,asian,native hawaiian and other pacific islander,hispanic or latino,other races,county_name,State,tot,countyFIPS,StateFIPS,2021-03-21,amount,shape_code,population,per_capita,award_count
0,8760,525,9285,5.7,11692,9395,1644,3527.0,11469,10096,4058,46650,41.9,20245,1007,68,116,28,403,13,Fayette County,IL,22731,17051.0,17.0,3078.0,7432172.61,18041,23102.0,321.71,411.0
1,12426,738,13164,5.6,19106,9777,1154,3917.0,14298,14705,5224,57308,40.1,25667,2003,73,218,10,985,230,Logan County,IL,30037,17107.0,17.0,3380.0,32566860.94,54045,32019.0,1017.11,723.0
3,351926,19357,371283,5.2,519407,186251,46304,62508.0,350466,351007,96339,89427,38.4,531609,47385,2162,54157,285,152141,45309,Lake County,IL,751962,17097.0,17.0,61355.0,3344544388.44,17097,696535.0,4801.69,37781.0
4,5636,259,5895,4.4,8251,6813,752,2892.0,6714,7505,2962,47481,43.5,12956,830,6,29,0,419,0,Massac County,IL,15816,17127.0,17.0,1303.0,14876273.48,17127,13772.0,1080.18,466.0
5,5978,414,6392,6.5,8556,4952,675,1603.0,6236,6257,2156,52373,40.0,11058,652,22,45,1,2362,581,Cass County,IL,14183,17017.0,17.0,1903.0,15577052.66,17017,12147.0,1282.38,555.0
6,5978,414,6392,6.5,8556,4952,675,1603.0,6236,6257,2156,52373,40.0,11058,652,22,45,1,2362,581,Cass County,IL,14183,17017.0,17.0,1903.0,7315092.44,19029,12836.0,569.89,378.0
7,18586,532,19118,2.8,27053,10801,2817,4791.0,17919,18440,6128,53632,40.7,34850,357,157,263,28,894,420,Huntington County,IN,40671,18069.0,18.0,3619.0,7517458.24,18069,36520.0,205.84,262.0
8,11283,465,11748,4.0,17003,8478,2263,3956.0,12063,12086,4711,54576,42.0,21955,123,84,55,10,2021,1518,White County,IN,27744,18181.0,18.0,3018.0,130990862.36,18181,24102.0,5434.85,2229.0
9,11283,465,11748,4.0,17003,8478,2263,3956.0,12063,12086,4711,54576,42.0,21955,123,84,55,10,2021,1518,White County,IN,27744,18181.0,18.0,3018.0,61588170.17,47185,27345.0,2252.26,1379.0
10,9616,376,9992,3.8,13301,8379,1827,3484.0,10452,10388,3615,47658,39.7,20212,76,29,157,1,647,162,Jay County,IN,23507,18075.0,18.0,1825.0,7782602.28,18075,20436.0,380.83,350.0
11,22227,820,23047,3.6,31526,14364,2999,6178.0,21874,22564,7400,60404,40.8,42110,519,38,250,11,1873,796,Shelby County,IN,48889,18145.0,18.0,5647.0,242277467.13,18145,44729.0,5416.56,3691.0
12,22227,820,23047,3.6,31526,14364,2999,6178.0,21874,22564,7400,60404,40.8,42110,519,38,250,11,1873,796,Shelby County,IN,48889,18145.0,18.0,5647.0,229041684.71,39149,48590.0,4713.76,2486.0
13,22227,820,23047,3.6,31526,14364,2999,6178.0,21874,22564,7400,60404,40.8,42110,519,38,250,11,1873,796,Shelby County,IN,48889,18145.0,18.0,5647.0,166099044.07,21211,49024.0,3388.12,2474.0
14,8591,440,9031,4.9,11847,7853,1819,3531.0,11076,9654,3577,50245,41.0,19254,830,19,106,9,360,77,Sullivan County,IN,21519,18153.0,18.0,2056.0,24325672.34,18153,20669.0,1176.92,476.0
15,96929,4129,101058,4.1,147090,44994,14974,19605.0,97798,93755,21322,53130,28.2,156081,10168,561,15564,66,15948,4561,Tippecanoe County,IN,207058,18157.0,18.0,20575.0,308863816.04,18157,195732.0,1577.99,4025.0
16,172742,4891,177633,2.8,279723,57539,14085,25439.0,157702,165415,38362,98173,37.1,280363,12764,619,19336,69,12928,2054,Hamilton County,IN,351347,18057.0,18.0,33046.0,953294398.03,18057,338011.0,2820.31,17267.0
17,172742,4891,177633,2.8,279723,57539,14085,25439.0,157702,165415,38362,98173,37.1,280363,12764,619,19336,69,12928,2054,Hamilton County,IN,351347,18057.0,18.0,33046.0,934675979.95,47065,367804.0,2541.23,14383.0
18,40151,1768,41919,4.2,59691,25316,6981,10583.0,41170,41311,13234,63431,37.8,70299,1549,179,6104,42,5572,2173,Bartholomew County,IN,91988,18005.0,18.0,7631.0,56229325.11,18005,83779.0,671.16,847.0
20,22957,943,23900,3.9,34371,13878,4011,6268.0,23872,23634,7233,56789,38.7,45774,228,63,314,10,4888,245,Noble County,IN,52260,18113.0,18.0,5200.0,76293690.55,18113,47744.0,1597.97,1079.0
21,58218,2984,61202,4.9,83583,38346,8325,15387.0,56860,59647,17949,55630,39.1,102002,7854,215,1263,13,6264,1064,Clark County,IN,130254,18019.0,18.0,12322.0,221419823.01,18019,118302.0,1871.65,3971.0
22,58218,2984,61202,4.9,83583,38346,8325,15387.0,56860,59647,17949,55630,39.1,102002,7854,215,1263,13,6264,1064,Clark County,IN,130254,18019.0,18.0,12322.0,204299479.8,39023,134083.0,1523.68,3323.0
23,86609,3239,89848,3.6,132629,37090,9807,16611.0,81767,82032,21828,81933,37.7,142553,11507,293,4773,26,6394,1565,Hendricks County,IN,179526,18063.0,18.0,16242.0,250279626.33,18063,170311.0,1469.54,5781.0
26,9683,555,10238,5.4,13036,8273,2248,3768.0,10636,10199,3950,49543,45.2,20191,98,80,103,0,262,0,Owen County,IN,23557,18119.0,18.0,1872.0,116253903.23,18119,20799.0,5589.4,1623.0
27,17204,644,17848,3.6,25485,9809,2570,4588.0,16755,16975,5943,61741,41.8,32666,137,117,145,0,694,35,Whitley County,IN,37864,18183.0,18.0,3590.0,192482539.08,18183,33964.0,5667.25,2367.0
28,17204,644,17848,3.6,25485,9809,2570,4588.0,16755,16975,5943,61741,41.8,32666,137,117,145,0,694,35,Whitley County,IN,37864,18183.0,18.0,3590.0,53233880.46,21235,36264.0,1467.95,650.0
29,15183,611,15794,3.9,21498,11200,3196,4316.0,16067,16206,5214,54286,37.8,29558,268,58,113,53,5118,1967,Clinton County,IN,35894,18023.0,18.0,4025.0,70637068.43,17027,37562.0,1880.55,1628.0
30,15183,611,15794,3.9,21498,11200,3196,4316.0,16067,16206,5214,54286,37.8,29558,268,58,113,53,5118,1967,Clinton County,IN,35894,18023.0,18.0,4025.0,21310467.02,18023,32399.0,657.75,423.0
31,3395,50,3445,1.5,5049,2211,674,1104.0,3480,3633,1339,50375,43.5,6898,15,0,145,0,126,4,Union County,IN,7934,18161.0,18.0,716.0,24638635.9,18161,7054.0,3492.86,640.0
32,24757,956,25713,3.7,36511,16838,2456,5793.0,24658,24821,8421,68658,42.5,48102,431,50,279,14,646,137,Dearborn County,IN,55805,18029.0,18.0,5566.0,49558811.57,18029,49458.0,1002.04,1365.0
