,employed people with 16 yrs and over,unemployed people with 16 yrs and over,people in the labor force,unemployment rate,people with private health insurance,people with public health insurance,people without health insurance,people with a disability,male,female,people that are older than 65,median household income,median age
"Fayette County, Illinois: Summary level: 050, state:17> county:051",8760,525,9285,5.7,11692,9395,1644,3527.0,11469,10096,4058,46650,41.9
"Logan County, Illinois: Summary level: 050, state:17> county:107",12426,738,13164,5.6,19106,9777,1154,3917.0,14298,14705,5224,57308,40.1
"Saline County, Illinois: Summary level: 050, state:17> county:165",9902,816,10718,7.6,14218,12485,993,5240.0,11807,12187,4785,44090,42.2
"Lake County, Illinois: Summary level: 050, state:17> county:097",351926,19357,371283,5.2,519407,186251,46304,62508.0,350466,351007,96339,89427,38.4
"Massac County, Illinois: Summary level: 050, state:17> county:127",5636,259,5895,4.4,8251,6813,752,2892.0,6714,7505,2962,47481,43.5
"Cass County, Illinois: Summary level: 050, state:17> county:017",5978,414,6392,6.5,8556,4952,675,1603.0,6236,6257,2156,52373,40.0
"Huntington County, Indiana: Summary level: 050, state:18> county:069",18586,532,19118,2.8,27053,10801,2817,4791.0,17919,18440,6128,53632,40.7
"White County, Indiana: Summary level: 050, state:18> county:181",11283,465,11748,4.0,17003,8478,2263,3956.0,12063,12086,4711,54576,42.0
"Jay County, Indiana: Summary level: 050, state:18> county:075",9616,376,9992,3.8,13301,8379,1827,3484.0,10452,10388,3615,47658,39.7
"Shelby County, Indiana: Summary level: 050, state:18> county:145",22227,820,23047,3.6,31526,14364,2999,6178.0,21874,22564,7400,60404,40.8
"Sullivan County, Indiana: Summary level: 050, state:18> county:153",8591,440,9031,4.9,11847,7853,1819,3531.0,11076,9654,3577,50245,41.0
"Tippecanoe County, Indiana: Summary level: 050, state:18> county:157",96929,4129,101058,4.1,147090,44994,14974,19605.0,97798,93755,21322,53130,28.2
"Hamilton County, Indiana: Summary level: 050, state:18> county:057",172742,4891,177633,2.8,279723,57539,14085,25439.0,157702,165415,38362,98173,37.1
